Particles,Arrival Time,x Pos,y Pos
electron,0,14,3.4
alpha,0,24,3.2
electron,0,24,4.5
electron,0,4,3.5
alpha,0,4,5.4
electron,1,12,2.5
electron,1,6,14.5
beta,1,12,16
alpha,1,2,17
beta,1,11,13
electron,1,11,2
alpha,1,12,12
beta,1,10,13
beta,2,5,15
alpha,2,9,3
electron,4,4,5
alpha,4,5,2.4
beta,4,7,3.5
alpha,4,1,3.7
electron,7,8,9.7
beta,7,2,8.5
electron,7,6,6.7
electron,7,4,3.1
alpha,7,16,15
alpha,7,12,19.6
alpha,7,14,1.2
beta,7,4,16.7
beta,7,18,2
electron,8,9,4
electron,8,23,15.2
electron,8,12,3
beta,8,2,20
electron,9,7,12.23
beta,10,3,4
beta,11,1,5
beta,11,16,1.4
beta,11,12,7.8
electron,11,4,3.5
